,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
0,0.0,0,0,0.05263157894736842,0.006533202058604355,1,1,0.4958485521235521,0.6711476270615954,55.0
1,0.5,0,0,0.05263157894736842,0.006406105297154784,1,1,0.4891364671814672,0.6679387579939414,51.0
2,0.0,0,0,0.05263157894736842,0.004684513461938241,1,1,0.49399645752895754,0.6712628441602153,43.0
3,0.0,0,1,0.05263157894736842,0.00466820317790506,1,1,0.6471264478764479,0.6702945136317737,62.5
4,0.5,1,0,0.05263157894736842,0.005016147887753025,0,1,0.5887277992277993,0.7077916896667787,60.5
5,0.0,0,0,0.10526315789473684,0.006280199139584918,1,1,0.46750270270270267,0.6667201985863345,42.0
6,0.5,0,0,0.10526315789473684,0.007514351224511365,1,1,0.6304666698841699,0.6650811174688657,66.5
7,0.0,0,1,0.10526315789473684,0.005932763343936724,1,1,0.6673745173745174,0.667956916863009,52.0
8,0.5,0,1,0.05263157894736842,0.005222587415998043,1,1,0.49666218146718144,0.6714035745540221,41.6
9,0.0,0,1,0.05263157894736842,0.004412360538168567,1,1,0.49567191119691123,0.6797070683271625,36.0
10,0.0,0,0,0.10526315789473684,0.006785378166995769,1,1,0.6286121525096525,0.7072580175025243,35.0
11,0.5,0,0,0.05263157894736842,0.0066982588466679895,1,1,0.4965283783783784,0.6711253685627734,110.0
12,0.0,0,0,0.05263157894736842,0.004654387543582883,1,1,0.4958485521235521,0.6711476270615954,48.0
13,0.0,0,1,0.05263157894736842,0.005636425575233985,1,1,0.6465995270270269,0.6704918310333221,62.0
14,0.0,0,0,0.0,0.003258369520920211,1,1,0.49647876447876443,0.6710777515987882,20.0
15,0.5,1,1,0.10526315789473684,0.007006011106456132,0,1,0.6450734942084941,0.670756348030966,71.1
16,0.0,0,0,0.10526315789473684,0.00905056122654628,1,1,0.5663635810810812,0.6989646819252775,85.0
17,0.5,1,1,0.10526315789473684,0.010686394440504628,0,1,0.4950337837837838,0.6710326489397509,180.0
18,0.0,0,0,0.05263157894736842,0.005524762194165722,1,1,0.5748444980694981,0.6761462807135644,22.0
19,0.5,0,1,0.10526315789473684,0.010957105426019234,1,1,0.49703046332046336,0.671199824974756,120.0
20,0.0,0,0,0.05263157894736842,0.004422547098731166,1,1,0.49662162162162166,0.679602827330865,45.0
21,0.5,0,0,0.05263157894736842,0.00474354918517448,1,1,0.5487708783783785,0.6588052507573208,42.0
22,0.5,0,1,0.10526315789473684,0.006583117715932809,1,1,0.6457924710424711,0.6704192426792325,55.0
23,0.5,0,0,0.0,0.003157729604687411,1,1,0.5545795366795367,0.6551348367553012,300.0
24,0.5,0,0,0.05263157894736842,0.00612815340319212,1,1,0.5743801061776062,0.6761309222484011,50.0
25,0.0,0,0,0.05263157894736842,0.00391387773859201,1,1,0.5882346525096525,0.7072964658364187,27.5
26,0.0,0,0,0.10526315789473684,0.008042885345563043,1,1,0.6470657335907337,0.670594830023561,46.0
27,0.5,0,0,0.05263157894736842,0.005929738700313422,1,1,0.6671126158301158,0.6679520599124873,22.9
28,0.0,1,0,0.05263157894736842,0.005021137563886257,0,1,0.6069498069498069,0.7017839111410299,39.0
